,R2 Score,MSE Score
Linear Regression,0.49300788447570953,0.5077692378063238
Ridge,0.4930078391213164,0.5077692832302365
ElasticNet,0.49107908549385326,0.5097009932693963
LASSO,0.48884490896522625,0.5119385943648148
