,R2 Score,MSE Score
ElasticNet,0.3932808909004343,0.6076490938551058
Ridge,0.3929622538689821,0.6079682192963961
Linear Regression,0.39296224469128116,0.6079682284881647
LASSO,0.3928606344591874,0.6080699944693777
