,R2 Score,MSE Score
ElasticNet,0.7480871191970786,0.252299015235408
Ridge,0.7474322239494272,0.2529549143126531
Linear Regression,0.7474321602491457,0.25295497811057494
LASSO,0.7464136177593468,0.25397508183187983
