,R2 Score,MSE Score
ElasticNet,0.7396295952679248,0.2607695029367682
LASSO,0.7387805161252659,0.2616198835559213
Ridge,0.7386997460742559,0.26170077741202485
Linear Regression,0.7386997113929212,0.26170081214651936
